Description,Supplier,URL,Entity,Expense Type,Transaction Number,Amount,Expense Area,Date,Departmental Family
 Final instalment 2010-11 Strategic grant,SOCIAL ENTERPRISE LONDON,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015600,"30,000.00",OFFICE FOR CIVIL SOCIETY,23/03/2011,Cabinet Office
Refurbishment of 10 Downing Street,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Freehold Non Residential Buildings,3000015588,"94,656.00",PRIME MINISTERS OFFICE,23/03/2011,Cabinet Office
Civil Service Staff survey,ORC INTERNATIONAL LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015631,"219,685.00",CIVIL SERVICE CAPABILITIES GROUP,24/03/2011,Cabinet Office
Fast-stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Other Staff Related Costs,3000015632,"159,123.54",CIVIL SERVICE CAPABILITIES GROUP,24/03/2011,Cabinet Office
"Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay",DWP NORCROSS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015621,"133,333.33",CO SHARED SERVICES,24/03/2011,Cabinet Office
High Integrity Telecomms System project costs,BT GLOBAL SERVICES.,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015613,"49,997.00",INTELLIGENCE SECURITY AND RESILIENCE,24/03/2011,Cabinet Office
Payment for the delivery of the Queens Award for Voluntary Service,COI CENTRAL OFFICE OF INFORMATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,GRANT FUND MANAGEMENT SERVICES,3000015615,"70,481.68",OFFICE FOR CIVIL SOCIETY,24/03/2011,Cabinet Office
Costs for government secure intranet,CESG,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,GSI COS,PINDOH 32410,"37,959.00",Network Services,24/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Call Charges Std,PINMTS 19645,"36,662.09",Network Services,24/03/2011,Cabinet Office
Operating Leases Rent,ST ANDREWS PARK NORWICH LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,1000374,"288,810.00",ESTATE MANAGEMENT,25/03/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Assets Under Construction,3000015656,"42,283.39",ESTATE MANAGEMENT,25/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015656,"27,698.80",ESTATE MANAGEMENT,25/03/2011,Cabinet Office
 Social return on investment project,Social Return On Investment NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015666,"33,694.06",OFFICE FOR CIVIL SOCIETY,25/03/2011,Cabinet Office
 Payment for the running of the Charity Tribunal,TRIBUNALS SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015670,"232,223.00",OFFICE FOR CIVIL SOCIETY,25/03/2011,Cabinet Office
Cost of internal legal team staffed by Treasury Solicitor personnel.,THE TREASURY SOLICITOR,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015669,"55,145.00",OFFICE OF GOVERNMENT COMMERCE,25/03/2011,Cabinet Office
Professional services,PWC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015717,"116,860.83",CIVIL SERVICE PENSIONS,28/03/2011,Cabinet Office
Facilities Management Services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,3000015699,"31,585.14",ESTATE MANAGEMENT,28/03/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Assets Under Construction,3000015699,"28,131.58",ESTATE MANAGEMENT,28/03/2011,Cabinet Office
 v match funding to support youth volunteering,V,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Private Sector,3000015725,"200,000.00",OFFICE FOR CIVIL SOCIETY,28/03/2011,Cabinet Office
Payment for professional services,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Consultancy,3000015750,"30,000.00",FINANCIAL MANAGEMENT,29/03/2011,Cabinet Office
High Integrity Telecomms System project costs,BT GLOBAL SERVICES.,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015743,"180,725.00",INTELLIGENCE SECURITY AND RESILIENCE,29/03/2011,Cabinet Office
FEES & HANDSETS charge,BUYING SOLUTIONS 3986,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Accommodation and Utilities,103170,"226,404.64",IT AND TELECOMS BRANCH,30/03/2011,Cabinet Office
Cabinet Office Data network supporting the London based estate,VERIZON UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015817,"32,760.00",IT AND TELECOMS BRANCH,30/03/2011,Cabinet Office
Grassroots Grants programme,COMMUNITY DEVELOPMENT FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,GRANT FUND MANAGEMENT SERVICES,3000015791,"75,000.00",OFFICE FOR CIVIL SOCIETY,30/03/2011,Cabinet Office
 Payment for the delivery of Funding Central website,National Council for Voluntary Organisations,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015809,"94,876.75",OFFICE FOR CIVIL SOCIETY,30/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WDHS Cost of Heat,PINDOH 32475,"105,817.73",WDHS,30/03/2011,Cabinet Office
Whitehall heating systems management,COFELY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,WDHS Cost Elec Gen,PINDOH 32475,"73,633.30",WDHS,30/03/2011,Cabinet Office
Refurbishment of 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Assets Under Construction,3000015859,"54,218.40",ESTATE MANAGEMENT,31/03/2011,Cabinet Office
Payment for carbon reduction projects,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,3000015859,"30,740.00",ESTATE MANAGEMENT,31/03/2011,Cabinet Office
Replenishing Insignia,TREASURER TO THE QUEEN,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Supplies and Services,1000376,"276,445.00",HONOURS AND APPOINTMENTS,31/03/2011,Cabinet Office
Flex Service Costs ,FUJITSU SERVICES,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Hire of Plant and Machines Memorandum Accounts,3000015862,"223,597.62",IT AND TELECOMS BRANCH,31/03/2011,Cabinet Office
 Social enterprise action research programme,DEPARTMENT OF ENERGY & CLIMATE CHANGE,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015857,"69,000.00",OFFICE FOR CIVIL SOCIETY,31/03/2011,Cabinet Office
 Grants for the Third Sector Research Centre ,ECONOMIC & SOCIAL RESEARCH COUNCIL,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to Central Government Bodies,3000015858,"260,000.00",OFFICE FOR CIVIL SOCIETY,31/03/2011,Cabinet Office
Grant to support a Community Time Credits programme,NESTA,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Resource Grants to NDPB's,3000015872,"250,000.00",OFFICE FOR CIVIL SOCIETY,31/03/2011,Cabinet Office
"Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database",CORPORATE DOCUMENT SERVICES LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,IT Costs,3000015855,"81,413.47",OFFICE OF GOVERNMENT COMMERCE,31/03/2011,Cabinet Office
Refurbishment of 10 Downing Street,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,CABINET OFFICE,Freehold Non Residential Buildings,3000015859,"70,844.32",PRIME MINISTERS OFFICE,31/03/2011,Cabinet Office
Operating leases rent,ROYAL LIVER ASSURANC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Rent RLB 3rd Floor,PINDOH 32524,"90,052.81",Estates Management,31/03/2011,Cabinet Office
Service charge for accommodation,ROYAL LIVER ASSURANC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Service Charges RLB,PINDOH 32524,"27,616.19",Estates Management,31/03/2011,Cabinet Office
Rates for accommodation,LIVERPOOL CITY COUNC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,General Rates,PINDOH 32535,"174,282.50",Estates Management,31/03/2011,Cabinet Office
Energy procurement legal contract,Denton Wilde Sapte L,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,Legal Fees,PINDOH 32540,"61,995.17",Legal Services,31/03/2011,Cabinet Office
Government Managed Telecoms Contract,GLOBAL CROSSING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spendtransactionswithdescriptionscomarch2011.csv,Buying Solutions,SAP Rental,PINMTS 19728,"81,066.56",Network Services,31/03/2011,Cabinet Office
Fast stream recruitment,PARITY SOLUTIONS LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Other Staff Related Costs,3000014451,"47,578.19",CIVIL SERVICE CAPABILITIES GROUP,01/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,"CONSORTIUM LESBIAN, GAY, BISEXUAL & TRANSGENDERED VOLUNTARY AND COMMUNITY ORGANISATIONS",http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000014445,"31,518.00",OFFICE FOR CIVIL SOCIETY,01/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,Council of Ethnic Minority Voluntary Organisations,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000014444,"91,985.00",OFFICE FOR CIVIL SOCIETY,01/02/2011,Cabinet Office
National Citizen Service project grant,CATCH22 CHARITY LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000014443,"134,128.00",OFFICE FOR CIVIL SOCIETY,01/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,MENTORING & BEFRIENDING FOUNDATION,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Grants -in-Aid to Private Sector,3000014450,"350,200.00",OFFICE FOR CIVIL SOCIETY,01/02/2011,Cabinet Office
National Citizen Service project grant ,THE CHALLENGE NETWORK,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000014453,"592,124.05",OFFICE FOR CIVIL SOCIETY,01/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,INSTITUTE OF FUNDRAISING,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Grants -in-Aid to Private Sector,3000014468,"89,766.00",OFFICE FOR CIVIL SOCIETY,02/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,NATIONAL YOUTH AGENCY,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Grants -in-Aid to Private Sector,3000014472,"107,700.00",OFFICE FOR CIVIL SOCIETY,02/02/2011,Cabinet Office
Final instalment 2010-11 Strategic grant,National Association for Voluntary & Community Action,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Resource Grants to Private Sector,3000014473,"141,585.00",OFFICE FOR CIVIL SOCIETY,02/02/2011,Cabinet Office
Capacitybuilders grant-in-aid - to build sector support services for civil society organisations,CAPACITY BUILDERS UK LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Grants-in-Aid to NDPB's,3000014462,"350,000.00",OFFICE OF THE THIRD SECTOR NDPBS,02/02/2011,Cabinet Office
Facilities Management services,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Accommodation and Utilities,3000014491,"76,284.61",ESTATE MANAGEMENT,03/02/2011,Cabinet Office
Accommodation works to 70 Whitehall,ECOVERT FM LTD,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,Assets Under Construction,3000014491,"152,750.00",ESTATE MANAGEMENT,03/02/2011,Cabinet Office
Quarterly rental charge for Government Secure Intranet link and services,CABLE & WIRELESS PLC,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Cabinet Office,IT Costs,3000014487,"27,482.60",PRIME MINISTERS OFFICE,03/02/2011,Cabinet Office
Capital Investment Programme Strand C,Slough Council for Voluntary Service,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,1919,"250,000.00",Capacity Builders,03/02/2011,Cabinet Office
Volunteer Management Programme Grant,Attend,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,3077,"152,711.73",Capacity Builders,03/02/2011,Cabinet Office
National Support Services Grant,The National Council for Voluntary Organisations,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,2017,"150,000.00",Capacity Builders,03/02/2011,Cabinet Office
National Support Services Grant,British Association of Settlements and Social Action Centres,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,2020,"150,000.00",Capacity Builders,03/02/2011,Cabinet Office
National Support Services Grant,Charities Evaluation Services,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,2021,"150,000.00",Capacity Builders,03/02/2011,Cabinet Office
Volunteer Management Programme Grant,Project North East,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,3081,"129,242.00",Capacity Builders,03/02/2011,Cabinet Office
National Support Services Grant,Volunteering England,http://www.cabinetoffice.gov.uk/sites/default/files/resources/spend-transactions-with-descriptions-co-feb-2011.csv,Capacity Builders,Grant,2023,"100,000.00",Capacity Builders,03/02/2011,Cabinet Office
